id,formattedAddress,location,rating,websiteUri,userRatingCount,displayName,primaryType
ChIJY2GpP6ENVo8R_-dmyNvjYPc,"C. 117 Diag. 784-L9, Fraccionamiento Gran Herradura Poniente, Cd Caucel, 97314 Mérida, Yuc., Mexico","{'latitude': 20.9943951, 'longitude': -89.71319629999999}",4.6,,35.0,"{'text': 'Ferretería Solis', 'languageCode': 'es'}",hardware_store
ChIJEy_Q4soNVo8RDhIq6u86VqI,"Calle 106 #687 por diagonal 117 y diagonal 117-A, Los Almendros 4, 97314 Mérida, Yuc., Mexico","{'latitude': 20.9971951, 'longitude': -89.7179814}",4.7,,65.0,"{'text': 'Ferrotlapalería Xanadu', 'languageCode': 'es'}",hardware_store
ChIJmVvUbNULVo8RQXHIecw2MQY,"Calle 59 #798 entre 100 y 102 Fracc. Sol Caucel, Cd Caucel, 97314 Mérida, Yuc., Mexico","{'latitude': 20.9984023, 'longitude': -89.7141707}",3.4,,9.0,"{'text': 'Ferretería ""POLO""', 'languageCode': 'es'}",hardware_store
ChIJrbXzEQALVo8RpyG-yclBcv0,"C. 49 831-C, Cd Caucel, 97314 Mérida, Yuc., Mexico","{'latitude': 21.0025241, 'longitude': -89.7177352}",5.0,,2.0,"{'text': 'Mini tlapaleria Camara de Comercio', 'languageCode': 'es'}",hardware_store
ChIJY7PjwjQNVo8RzNjF04x6iLA,"C. 106 739, Cd Caucel, 97314 Mérida, Yuc., Mexico","{'latitude': 20.9954055, 'longitude': -89.7194}",4.8,,4.0,"{'text': 'Ferretería Kevin', 'languageCode': 'es'}",hardware_store
ChIJ5__sSTgLVo8RpdWqZ_u1O3k,"C. 114, Cd Caucel, 97314 Mérida, Yuc., Mexico","{'latitude': 21.002600299999997, 'longitude': -89.7256938}",5.0,http://ferreterialaredo.com/,3.0,"{'text': 'Ferreteria Laredo', 'languageCode': 'es'}",hardware_store
ChIJhwIOBKwMVo8RfRteMcJZQbU,"C. 88 682 C, entre 79 y 77, Cd Caucel, 97314 Mérida, Yuc., Mexico","{'latitude': 20.991775999999998, 'longitude': -89.70473969999999}",4.3,,126.0,"{'text': 'Ferro DR Matriz', 'languageCode': 'en'}",hardware_store
ChIJRaVdoKMNVo8R8EXVvdJ57SM,"C. 88 675-C, Cd Caucel, 97314 Mérida, Yuc., Mexico","{'latitude': 20.993210599999998, 'longitude': -89.7049059}",4.3,,61.0,"{'text': 'Ferreterías NABTE', 'languageCode': 'es'}",hardware_store
ChIJAQ4vPSMNVo8RT5yOxe-nN3M,"Calle 79 732D X 92 y 94, Almendros, Cd Caucel, 97314 Mérida, Yuc., Mexico","{'latitude': 20.9922643, 'longitude': -89.7090762}",5.0,,4.0,"{'text': 'Ferrotlapaleria ""La Marmota"" Suc Almendros', 'languageCode': 'es'}",hardware_store
ChIJGwMKhIB2Vo8RSFFFgFZgbsI,"C. 38 243, Hacienda Sodzil Nte., 97115 Mérida, Yuc., Mexico","{'latitude': 21.045245299999998, 'longitude': -89.62252730000002}",4.9,,23.0,"{'text': 'Ferrotlapalería Angie y Cristhian', 'languageCode': 'es'}",hardware_store
ChIJEfy_U1Z1Vo8RzLXG9-q-_Kg,"Perif. de Mérida Lic. Manuel Berzunza 27, Sin Nombre de Col 27, 97302 Mérida, Yuc., Mexico","{'latitude': 21.0494014, 'longitude': -89.6329793}",,https://www.facebook.com/RefacasaManrique,,"{'text': 'Manrique CEDIS', 'languageCode': 'es'}",hardware_store
ChIJKc63ZBN3Vo8R0lEG-qsvigk,"Calle 40 Diagonal, Temozon Norte, 97302 Mérida, Yuc., Mexico","{'latitude': 21.0551119, 'longitude': -89.61567099999999}",4.2,https://fabs.mx/ferreteria-en-temozon/,15.0,"{'text': 'Fabs Ferretería - Temozón', 'languageCode': 'es'}",hardware_store
ChIJ982KWAB1Vo8Rr10KSh24Y-E,"Calle 20 & Calle 15, 97302 Xcanatún, Yuc., Mexico","{'latitude': 21.0791922, 'longitude': -89.62793889999999}",,,,"{'text': 'Ferrotlapaleria la 20', 'languageCode': 'es'}",hardware_store
